Unnamed: 0,Num,Direccion,UF,Lugar,Precio,Actualizacion,Pagos
0,1,Suipacha 221,UF-12,Coch -3,$25.000,Ago-24,True
1,2,Suipacha 221,UF-57,Coch -3,Nosotros,Nosotros,True
2,3,Suipacha 221,UF-105,Coch -2,$25.000,Ago-24,True
3,4,Suipacha 221,UF-271,7B,$179.000,Ago-24,True
4,5,Suipacha 221,UF-277,8I,$267.000,Abr-25,True
5,6,suipacha 644,UF-3,PB D,$150.000,Ago-24,True
6,7,suipacha 644,UF-18,4C,$163.000,Feb-25,False
7,8,suipacha 644,UF-21,5D,$133.000,Fin Oct-24,True
8,9,San Martin,Pelotero,PT,$130.000,Ago-24,False
9,10,Alem,Gringo,PT,$70.000,Jun-24,False
10,11,Alem,Local,PT,$,Alquiler,False
11,12,Alem,Depto,PT,$170.000,Fin Abr-25,False
12,13,Alem,Esquina,PT,$150.000,Ago-24,False
13,14,Alem,Anexo,PT,$134.000,Ago-24,False
14,15,Moyano,Local,RT,$290.000,Jul-24,False
